location_id,location_name,year,val
6,China,2023,11.788381024899024
7,Democratic People's Republic of Korea,2023,22.913455566285943
8,Taiwan,2023,14.490857167631965
10,Cambodia,2023,20.51485502690105
11,Indonesia,2023,18.90222857580889
12,Lao People's Democratic Republic,2023,24.295266970539416
13,Malaysia,2023,19.790204297444635
14,Maldives,2023,3.673630851130716
15,Myanmar,2023,21.06560523663803
16,Philippines,2023,11.898575887572374
17,Sri Lanka,2023,18.542711970837544
18,Thailand,2023,31.38140909344803
19,Timor-Leste,2023,19.328664319318584
20,Viet Nam,2023,27.16874020161059
22,Fiji,2023,9.938904254767914
23,Kiribati,2023,8.353522751
24,Marshall Islands,2023,16.864024362471163
25,Micronesia (Federated States of),2023,11.48878673487604
26,Papua New Guinea,2023,17.72845155124984
27,Samoa,2023,11.241281432837912
28,Solomon Islands,2023,14.426778266533178
29,Tonga,2023,10.415532323496324
30,Vanuatu,2023,10.510969056483445
33,Armenia,2023,10.37001925295176
34,Azerbaijan,2023,6.147469227482045
35,Georgia,2023,17.93056121625142
36,Kazakhstan,2023,13.182760741685664
37,Kyrgyzstan,2023,11.870248695217686
38,Mongolia,2023,14.15432313113822
39,Tajikistan,2023,5.4343520429801355
40,Turkmenistan,2023,5.536699155496579
41,Uzbekistan,2023,9.711687793
43,Albania,2023,8.111862656944261
44,Bosnia and Herzegovina,2023,4.474337578051711
45,Bulgaria,2023,7.269028135685665
46,Croatia,2023,8.337783048889088
47,Czechia,2023,6.9612068783563394
48,Hungary,2023,7.473078072
49,North Macedonia,2023,5.940938257242746
50,Montenegro,2023,7.328777156154895
51,Poland,2023,7.730354158111447
52,Romania,2023,11.642024239956218
53,Serbia,2023,7.7725700957058015
54,Slovakia,2023,7.776047752277039
55,Slovenia,2023,6.363493922451691
57,Belarus,2023,8.267065104926772
58,Estonia,2023,5.1103005323712445
59,Latvia,2023,10.250227955349207
60,Lithuania,2023,7.868202885646812
61,Republic of Moldova,2023,8.205074263140535
62,Russian Federation,2023,10.472453115860304
